"Cost","Gamma","Epsilon","MSE","MSE_UCL","Time"
-4,-2,0.8,1465.16199876933,2148.87664445401,0.0163018703460693
-4,-1,0.8,1516.39282490037,2085.51421797346,0.0186569690704346
-4,0,0.8,1487.77496226918,2557.32578801524,0.0166807174682617
-4,1,0.8,1474.47929052608,1931.88470272288,0.0169847011566162
-4,2,0.8,1507.79586289956,2388.39870692845,0.0174667835235596
-4,3,0.8,1509.62838765451,2179.47943152128,0.0176601409912109
-4,4,0.8,1496.42644685702,2741.72329475535,0.0172045230865479
-4,5,0.8,1501.5929081463,2148.66844884083,0.0183918476104736
-4,6,0.8,1489.56334723075,2328.47507302289,0.0214798450469971
-4,7,0.8,1519.9860043815,2102.09929398888,0.0192489624023438
-4,8,0.8,1534.49468744473,2263.38076988388,0.0188539028167725
-4,9,0.8,1497.85334695082,2135.11661927055,0.019028902053833
-4,10,0.8,1525.87904346323,2164.65108013923,0.0189857482910156
-3,-25,0.8,1544.95948670185,2550.06454696987,0.0164463520050049
-3,-24,0.8,1482.37737560876,2208.43201456275,0.018543004989624
-3,-23,0.8,1527.35630790623,2546.0007052753,0.0167937278747559
-3,-22,0.8,1532.67747969616,2344.13669548214,0.0163884162902832
-3,-21,0.8,1544.6499035483,2202.49039646951,0.0163075923919678
-3,-20,0.8,1520.09891734464,2487.1058699544,0.0166530609130859
-3,-19,0.8,1540.43300690967,2245.16164076642,0.0162932872772217
-3,-18,0.8,1519.50200863134,2293.27023996635,0.0165836811065674
-3,-17,0.8,1515.40497042267,2318.80725023363,0.0187792778015137
-3,-16,0.8,1547.70335939775,2344.5793578471,0.0168187618255615
-3,-15,0.8,1540.77728050022,2450.49449740009,0.0162405967712402
-3,-14,0.8,1507.17662495286,2217.38345972618,0.0163071155548096
-3,-13,0.8,1549.49827846298,2290.12540517234,0.0168395042419434
-3,-12,0.8,1546.98122709608,2438.35512711902,0.0162961483001709
-3,-11,0.8,1498.4814517333,2180.45609292167,0.0165297985076904
-3,-10,0.8,1476.92022811904,2424.63715612315,0.0190255641937256
-3,-9,0.8,1508.91780140078,2175.0283448334,0.0166194438934326
-3,-8,0.8,1513.33847437897,2300.39527775851,0.0162756443023682
-3,-7,0.8,1485.12772454166,2212.97643992382,0.0170314311981201
-3,-6,0.8,1413.77345054925,2141.24486670221,0.0202867984771729
-3,-5,0.8,1351.09210309822,2078.62099474093,0.0201826095581055
-3,-4,0.8,1375.28030397583,2288.91628252904,0.0189900398254395
-3,-3,0.8,1424.19714350529,2055.98123380455,0.0164525508880615
-3,-2,0.8,1456.88933842377,2324.07144716199,0.0173435211181641
-3,-1,0.8,1484.75038388845,2367.41685200817,0.0191822052001953
-3,0,0.8,1474.16808624947,2115.12905230373,0.0170438289642334
-3,1,0.8,1503.64200706843,2366.14066287862,0.0214290618896484
-3,2,0.8,1492.87818479222,2285.74360102783,0.0224123001098633
-3,3,0.8,1477.40237342018,2080.00932688727,0.0304663181304932
-3,4,0.8,1517.10374411309,2386.71271021439,0.017855167388916
-3,5,0.8,1510.88742677079,2377.53665463768,0.0209567546844482
-3,6,0.8,1491.23500220968,2322.92329464257,0.0203917026519775
-3,7,0.8,1501.40884773343,2117.63417072636,0.0228371620178223
-3,8,0.8,1490.83407354936,2826.46192285482,0.0220916271209717
-3,9,0.8,1495.12275565685,2306.42272108636,0.0227694511413574
-3,10,0.8,1487.984359283,2189.5860276133,0.0281631946563721
-2,-25,0.8,1522.73791372855,2246.12485550893,0.0172500610351562
-2,-24,0.8,1503.51733154421,2413.55454977266,0.0173885822296143
-2,-23,0.8,1554.36472851605,2279.26726501739,0.0171446800231934
-2,-22,0.8,1533.10915746027,2326.61527355295,0.0172793865203857
-2,-21,0.8,1508.45941236552,2096.66668651059,0.0170748233795166
-2,-20,0.8,1553.84836490243,2616.18292581371,0.0169434547424316
-2,-19,0.8,1546.53094967454,2276.36096390912,0.0175611972808838
-2,-18,0.8,1518.86158134782,2097.4312696882,0.0170013904571533
-2,-17,0.8,1538.99455102346,2241.40401140385,0.0226094722747803
-2,-16,0.8,1508.41800004474,2288.63227198025,0.0212693214416504
-2,-15,0.8,1516.23959654934,2344.54624537469,0.0198342800140381
-2,-14,0.8,1502.05854880694,2037.50676259713,0.0191807746887207
-2,-13,0.8,1527.94473639222,2236.78983874379,0.0249261856079102
-2,-12,0.8,1530.9491507513,2206.9621208206,0.0187952518463135
-2,-11,0.8,1498.5180849732,2259.70457356882,0.0182604789733887
-2,-10,0.8,1506.79276816974,2198.29797822212,0.018064022064209
-2,-9,0.8,1425.83259857704,1925.34326864909,0.0172526836395264
-2,-8,0.8,1408.83756420149,1955.18916247086,0.0172157287597656
-2,-7,0.8,1355.16434416484,2171.06777726554,0.0168373584747314
-2,-6,0.8,1311.76750437387,2087.66127251797,0.0206935405731201
-2,-5,0.8,1271.74438416773,1902.45237451741,0.0170402526855469
-2,-4,0.8,1302.64472899279,1895.86913680476,0.0169248580932617
-2,-3,0.8,1409.79876850039,2348.78628019483,0.0167772769927979
-2,-2,0.8,1480.9111986564,2395.35347401434,0.0170390605926514
-2,-1,0.8,1471.73952482903,1933.87811289698,0.0176360607147217
-2,0,0.8,1490.66267488014,1999.55974166733,0.0175368785858154
-2,1,0.8,1501.01854110827,2285.73763107021,0.0223417282104492
-2,2,0.8,1500.94531601259,2060.9522596362,0.0192499160766602
-2,3,0.8,1488.51742790124,2062.44064191029,0.0190513134002686
-2,4,0.8,1499.91775964962,2166.18848499475,0.018587589263916
-2,5,0.8,1496.17798360523,2325.36249154206,0.0191295146942139
-2,6,0.8,1484.76959100686,2392.22637030632,0.0200939178466797
-2,7,0.8,1478.8637896238,2350.1503590551,0.0198636054992676
-2,8,0.8,1512.1416748996,2995.52461242552,0.0237927436828613
-2,9,0.8,1511.64085437752,2172.19252423113,0.0199124813079834
-2,10,0.8,1500.98640956639,2178.38831538137,0.019920825958252
-1,-25,0.8,1538.22415146699,2255.12808697168,0.0171046257019043
-1,-24,0.8,1523.48842306795,2297.10340314133,0.0169134140014648
-1,-23,0.8,1505.23261235187,2144.05374877236,0.0169887542724609
-1,-22,0.8,1517.95478600773,2289.06074112517,0.0207979679107666
-1,-21,0.8,1560.2669072864,2529.39058278849,0.0192685127258301
-1,-20,0.8,1515.98471993424,2047.83949693853,0.0200309753417969
-1,-19,0.8,1521.89700464206,2405.30493748887,0.0202631950378418
-1,-18,0.8,1533.24713994765,2304.70504478293,0.0205819606781006
-1,-17,0.8,1516.17983704656,2232.7312841106,0.0188758373260498
-1,-16,0.8,1544.07475206741,2363.25494574178,0.0165939331054688
-1,-15,0.8,1555.24291765512,2118.94312097061,0.0229477882385254
-1,-14,0.8,1523.84718704309,2124.4452933718,0.0204191207885742
-1,-13,0.8,1538.16997599588,2331.77189896569,0.0181047916412354
-1,-12,0.8,1501.78308076742,2193.09726668408,0.0169017314910889
-1,-11,0.8,1494.04684098518,2341.11148127773,0.01741623878479
-1,-10,0.8,1428.65925569538,2077.00211972345,0.0165245532989502
-1,-9,0.8,1388.79719603292,2239.78885240617,0.0190696716308594
-1,-8,0.8,1330.5294365264,1959.65447627615,0.020064115524292
-1,-7,0.8,1257.00175957038,1828.0322231764,0.0174891948699951
-1,-6,0.8,1158.10925171242,1795.91426472364,0.0185301303863525
-1,-5,0.8,1238.01523524292,2124.04968256083,0.0179624557495117
-1,-4,0.8,1228.6553588487,1789.27587212983,0.0165612697601318
-1,-3,0.8,1385.07662884458,2114.86124458726,0.0199210643768311
-1,-2,0.8,1455.62311151059,2360.34692832035,0.0172333717346191
-1,-1,0.8,1446.3270031721,2121.65390425778,0.0211193561553955
-1,0,0.8,1476.20435749895,2016.74851240471,0.018174409866333
-1,1,0.8,1495.92986853059,1940.66408066729,0.0189211368560791
-1,2,0.8,1499.09029362099,2088.72937925067,0.0188441276550293
-1,3,0.8,1531.26237805004,2133.65772084803,0.0181100368499756
-1,4,0.8,1555.49969764784,2282.18081630665,0.0178518295288086
-1,5,0.8,1492.47819741913,2019.3371334909,0.0214517116546631
-1,6,0.8,1501.01573980369,2290.66290155214,0.0195028781890869
-1,7,0.8,1530.54680688942,2132.77851665041,0.0193057060241699
-1,8,0.8,1534.0092842046,2036.33920812855,0.0194828510284424
-1,9,0.8,1509.5753285345,2193.57973602353,0.0191903114318848
-1,10,0.8,1516.48190664869,2164.12284742048,0.0193192958831787
0,-25,0.8,1515.42031790236,2036.72991553857,0.0164840221405029
0,-24,0.8,1529.57440720981,1927.73826955009,0.0187575817108154
0,-23,0.8,1490.48363246496,2242.41644723032,0.0163516998291016
0,-22,0.8,1536.08406504734,2614.65588499866,0.0165400505065918
0,-21,0.8,1567.80603945693,2286.05609935525,0.016399621963501
0,-20,0.8,1507.85531125364,2098.41067316181,0.0165829658508301
0,-19,0.8,1521.61515810034,2273.962404637,0.0163354873657227
0,-18,0.8,1480.44070705549,2224.34074083422,0.0163218975067139
0,-17,0.8,1537.90032216316,2177.91000690858,0.0193452835083008
0,-16,0.8,1533.10461559129,2238.61687426886,0.0164685249328613
0,-15,0.8,1547.38949921102,2773.2957658833,0.0166423320770264
0,-14,0.8,1511.47678098171,2320.61828734448,0.0163199901580811
0,-13,0.8,1503.3413958315,2144.21415610314,0.0163524150848389
0,-12,0.8,1467.29020783613,2041.45469922482,0.0163884162902832
0,-11,0.8,1433.92672151115,1955.96286340502,0.0189006328582764
0,-10,0.8,1373.98928459045,2314.02483848404,0.0166025161743164
0,-9,0.8,1318.87330538847,1997.11979070704,0.0160336494445801
0,-8,0.8,1197.76163620864,1750.81010923436,0.0162982940673828
0,-7,0.8,1147.02020933094,1731.76213435926,0.0163536071777344
0,-6,0.8,1018.66799895408,1374.25476667558,0.0163159370422363
0,-5,0.8,937.487977902788,1285.17663223741,0.0166125297546387
0,-4,0.8,1103.57739493314,1501.54467588006,0.0189061164855957
0,-3,0.8,1302.47324392395,1795.58609322905,0.0167310237884521
0,-2,0.8,1505.62996346905,2394.85668837206,0.0171389579772949
0,-1,0.8,1496.21213603681,2297.40611632209,0.0169148445129395
0,0,0.8,1558.94416426684,2472.24800762387,0.0171177387237549
0,1,0.8,1541.13337037576,1992.84517266853,0.0182347297668457
0,2,0.8,1636.3015304664,2311.25366050211,0.0190036296844482
0,3,0.8,1540.43042316508,2195.24179307844,0.0208475589752197
0,4,0.8,1572.76002529441,2096.42370910891,0.0182120800018311
0,5,0.8,1551.89796748956,2270.71946719781,0.0186135768890381
0,6,0.8,1570.8994988442,2452.33935708257,0.0192649364471436
0,7,0.8,1558.2480671337,2410.25692319643,0.0189626216888428
0,8,0.8,1562.94206167796,2030.64102566866,0.0193076133728027
0,9,0.8,1565.42353375931,2158.3269963932,0.0218651294708252
0,10,0.8,1683.03942132771,2556.43505525819,0.0191116333007812
1,-25,0.8,1539.13759146254,2146.95881112894,0.0166177749633789
1,-24,0.8,1590.2413678648,2184.451017267,0.0163395404815674
1,-23,0.8,1497.20459469043,2219.62809209751,0.0163698196411133
1,-22,0.8,1523.79751181599,2037.38062362471,0.0162084102630615
1,-21,0.8,1536.53411154358,2438.26059817752,0.016655445098877
